"Total GNI, PPP (current international $)";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
"Christmas Island";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cocos Island";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Colombia";;;;;;;;;;;;;;;;;;;;67530500477,2725;75107510723,4244;78928156881,6644;82904637494,3338;88503314537,3855;93138515930,4363;101832222422,418;109604444814,58;118809495430,736;126046568989,417;138646250001,92;147742750915,527;158856078310,61;167678641004,239;183987680011,619;198203100311,407;205009595668,432;215887231409,761;221149797194,522;215024684315,441;228101448904,4;236415177193,962;245669367144,552;258733198335,861;279947716980,051;302675324716,952;333641595003,832;366289452415,956;386258157599,979;397749812450,756;417655285976,026;452398505760,658
"Comoros";;;;;;;;;;;;;;;;;;;;190277339,554403;215543921,85357;244004994,599777;263292927,664219;284029366,435008;298053494,262047;310684676,386578;326463602,268691;344885824,707175;352502266,172597;380979889,128797;372953421,015238;420171145,703134;438968123,183891;422381940,884238;448686559,606151;449479340,82524;476373096,011865;487888856,096676;505889690,67389;524574745,986846;555186346,667551;583952100,596436;607279835,553045;624806286,469666;674997705,937319;708139656,051413;734539696,106496;755253456,434944;775765458,153229;798881848,282883;841900462,761784
"Congo, Dem. Rep.";;;;;;;;;;;;;;;;;;;;;;6102042075,97247;11495418903,9698;11947328248,2655;15172784731,3174;14476823604,7952;14803326780,6014;14738387889,4943;16094230835,1702;15354885959,5996;14407102468,9608;13123117990,0351;11936695877,5617;10972115240,1722;11085579492,1694;12084624368,3519;11600484303,9672;11619184635,6546;11036280221,2519;10422833421,1606;10461662432,6746;11411470483,7766;12594708145,7881;13642764179,6208;14782725096,1856;16411845184,4615;17752967331,2454;18222373820,7316;19873614051,1625;21560130697,864;23379621246,4628
"Congo, Rep.";;;;;;;;;;;;;;;;;;;;2293464830,5917;3075782747,32592;3999976084,07516;4312965795,63014;4917796330,46014;4978962329,53578;5148208947,04857;5306838963,57036;4737306522,91909;4964493884,9893;5093707055,84132;5432393845,66076;5928229174,615;5926946663,2159;5681942431,75066;4100626439,74591;4294713739,72893;5432945647,4442;6063575931,0893;5517403852,81792;6132849410,99439;6463455575,90055;7138253178,22624;7439011389,94442;7287706242,51353;7913759490,22298;8643148136,91326;9116691188,1698;10574004417,4658;11299620048,4821;12841419378,5015;13581360382,277
"Cook Is";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Costa Rica";;;;;;;;;;;;;;;;;;;;6816465118,43205;6801962439,1055;6340439822,21538;7350051076,85351;8259736512,62346;8664006360,8681;9458076462,90317;10395084124,0147;11112870151,0924;12077003571,0784;13362427563,8487;14295219305,5465;15944827306,0339;17503946734,6188;18928941423,0972;20005317135,4668;20616077095,8677;22099673628,3267;23949473818,4466;24062696525,3865;26074712065,7151;28024597322,4187;29477653400,3895;31872412232,9025;34132224550,2791;37439330120,0177;42346282025,4645;47212580729,3154;49731269998,2389;49490491073,4127;52577979037,4549;56493675843,4307
"Cote d'Ivoire";;;;;;;;;;;;;;;;;;;;10116498748,1053;11292082859,1774;11882697378,7732;11497723801,7203;11977739141,4192;12540235398,5674;13566940334,9437;13720422416,6314;14287643406,0675;14437501834,4167;14733825366,941;15531967755,4868;16002574456,5489;16264925561,31;17315243807,6037;19050661279,1629;21215061064,0128;23208926051,8374;24700181539,3777;25318541268,2459;24840763576,6707;25597656857,8862;25665097782,3604;25984804130,0484;27367136979,3311;28700361364,5578;29805867219,9634;31202009514,9012;32728449362,6955;34261490564,4903;35504428999,9558;34771857751,8231
"Croatia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45404176016,5856;37128207812,9392;33098213943,429;31189905798,7916;33755022048,2379;37291242997,2213;40379033529,423;44015471179,3479;45123904847,2231;44441141924,1305;47433274220,0356;50829719096,9539;54928436715,0542;57608295797,895;63052737644,7926;66326420035,538;72499560122,5776;80951442514,281;87126312313,358;84319491778,1553;82545810306,9151;85195805774,5813
"Cuba";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cyprus";;;;;;;;;;;;;;;;;;;;2624282294,03545;2935121877,73872;3297104711,57667;3575338673,38736;4043110672,34486;4376581292,41928;4632659565,46901;5165372264,8551;5805373984,18473;6518755692,4063;7271174566,90345;7577391926,62396;8429202899,18692;8690642158,62402;9361788067,81794;9821063969,68341;10233518368,5052;10609406033,67;12382524845,4791;11920225370,3598;12613012673,0305;13881387772,0076;14679610346,1587;15404554138,3868;16421927124,7313;17728792730,016;19372103214,3295;20714947868,2192;23626918416,7193;24599847626,984;24843738451,5582;
"Czech Republic";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;121550285047,866;122956740667,329;128761044465,429;138615487309,384;146162667068,279;147055210647,545;146868147278,989;149543740250,216;156975978812,966;167289992338,64;172663155580,597;184798688223,895;195244457618,948;208484614656,674;226606389796,868;244033226447,992;257188755589,574;250758423764,383;247756587151,956;256038259284,359
"Czechoslovakia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Denmark";;;;;;;;;;;;;;;;;;;;50821157561,1639;54620265061,7746;59672832642,7306;63816044031,4029;68632999285,6772;73491428237,5193;79073368467,5843;81920360447,595;84464378233,9844;87881776339,8317;92533678565,6118;96979320614,0823;101663355948,12;104512990089,189;112722514929,204;119074535227,824;125064694322,706;131707572657,378;137107381938,624;142064259191,247;150646122172,704;155444557605,861;163392827214,927;163012313892,721;175262560826,584;182397082911,388;199652103014,396;208182142632,44;222270206816,281;214907579802,069;228095951891,888;235781540823,356
"Djibouti";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1148616552,73049;1169787952,62355;1124418280,65616;1119709699,62127;1106791598,48168;1076992210,99127;1081523691,72546;1093884080,87608;1136896467,93856;1172656156,71006;1215702267,44244;1272814317,67354;1414563145,41405;1531752256,54806;1628194823,16997;1787187720,12876;1921010241,28482;2054448652,57397;2132326235,33181;;
"Dominica";;;;;;;;;;;;;;;;;;;;144648666,629158;177760414,674567;195457380,135943;207039041,575107;222797383,93777;225043640,674942;254276330,499312;276890733,167098;313670360,706796;318985299,328085;354784243,11157;364216504,421519;381123526,718751;398741081,253496;404426215,408867;418246120,084973;427746984,391303;444230508,387195;482597993,67723;472804213,489354;459510776,556516;493062289,954234;487043335,27225;538481534,070747;564870401,666146;587945437,875479;663143371,009739;702774918,212793;779470537,36828;791156069,234329;810079859,581577;843002334,75091
