"Hydro production, total (toe)";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
"Bolivia";;;;;;;;;;;;77214,1014617373;81599,3121238182;83576,9561478938;88907,9965606196;92347,3774720555;96818,5726569223;102235,597592434;108254,514187447;110576,096302666;91401,5477214106;99398,1083404992;98452,2785898544;98280,3095442826;100085,984522786;98194,3250214966;95786,7583834915;91229,5786758388;100000,000000001;100343,938091144;101461,736887361;112037,833190026;108770,421324162;129148,75322442;113155,631986243;108598,45227859;122527,944969906;134565,778159932;133791,917454859;153568,357695616;167239,896818574;183061,049011179;189423,903697335;170851,246775581;184780,739466897;168873,602751506;185640,584694756;199398,1083405;198624,247635427;197420,464316424;187618,228718832;
"Bosnia and Herzegovina";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;262940,670679279;441788,478073949;293035,253654344;203525,365434223;297420,464316425;313241,61650903;443336,199484095;400257,95356836;391831,470335342;475666,380051593;438005,15907137;445485,812553743;452966,466036116;387016,337059331;514101,46173689;515735,167669822;503611,34995701;344024,075666382;418486,67239897;536457,437661224;690111,779879625;
"Botswana";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Brazil";;;;;;;;;;;;3714445,39982805;4357781,59931215;4977644,02407569;5647377,47205506;6215563,19862428;7129234,73774724;8037833,19002584;8834565,77815998;10024075,6663801;11084006,8787619;11243766,1220981;12135167,6698195;13024505,588994;14324419,6044713;15337489,2519347;15685210,6620809;15958727,4290629;17118916,595013;17600171,9690457;17773688,7360276;18725881,3413587;19204041,272571;20211951,8486674;20868873,6027516;21831900,2579537;22852020,6362856;23987274,2906278;25061822,8718832;25193465,1762684;26173946,689596;23033190,0257955;24599484,0928634;26278245,9157353;27583576,956148;29016079,1057611;29991831,4703355;32159501,289768;31776096,3026657;33618916,5950131;34676612,2098024;
"British Virgin Islands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Brunei";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bulgaria";;;;;;;;;;;;186586,414445401;180137,575236458;220980,22355976;178847,80739467;210920,03439381;253998,280309546;303439,380911438;250128,97678418;284694,754944112;319260,533104043;311092,003439383;262252,794496992;288134,135855548;280309,544282031;192261,39294927;200000,000000001;218228,718830612;223215,821152194;231384,350816854;161478,933791918;209888,220120379;177386,07050731;166981,943250216;126225,2794497;198968,18572657;250988,822012039;236801,375752366;266294,067067929;236715,39122958;229836,629406708;149355,116079107;188650,042992262;260447,119518488;272398,968185728;372914,875322444;364402,40756664;247119,518486674;242820,292347379;298366,29406707;434823,731728291;
"Burkina Faso";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burundi";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cambodia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2493,55116079107;3525,36543422186;2321,58211521927;3783,31900257956;4127,25709372315;4041,27257093725;3697,33447979366;3181,42734307826;2235,59759243337;
"Cameroon";;;;;;;;;;;;89939,8108340504;92261,3929492696;91831,4703353401;102321,58211522;111349,957007739;107996,560619089;105331,040412726;108254,514187447;112467,755803956;117368,873602752;155631,986242477;175236,457437662;179621,668099743;187274,290627688;205331,040412727;209028,37489252;210748,065348238;221152,192605332;229062,768701635;228374,892519348;229664,660361136;232330,180567499;240928,632846089;231126,397248496;236715,39122958;246603,611349958;265864,144454;267927,773000861;286672,398968187;295958,727429064;298710,232158213;273602,751504731;303353,396388652;337059,329320724;324333,619948411;334651,762682719;330782,459157353;363886,500429925;345313,84350817;366294,06706793;
