"Electricity consumption, total (kWh)";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
"New Zealand";5828491441,09959;6342650593,04872;6817140777,59871;7791890374,43716;8391573105,90238;9232608787,09481;9814134831,27172;10039171127,7119;10625967226,8113;11346908127,1639;12044003836,0551;13480646309,1483;15551565677,1927;16523313180,0223;16618080199,0938;17868046363,7248;18948918688,3138;19205328054,2914;19247680276,8166;19380827489,5465;19964477722,0598;20565167817,8502;21917016181,3631;23477221346,5446;24367853175,9165;24697270366,1729;25914269419,0309;26160571092,1085;27105755555,8263;28450713245,9384;30485718103,79;30469897433,5498;30255208185,8595;31758672005,2069;32349542347,7901;33468117324,5495;33727009678,4566;34106853921,1382;34523295981,6514;34886938015,4364;36205115603,598;36790951859,2965;37745403678,8654;37824501779,1518;39430093071,5596;39992099187,2082;40595939272,3319;40761072861,6702;40792955743,1657;40526014675,3788;41785214147,1679;
"Ngorno-Karabakh";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Nicaragua";;;;;;;;;;;;558000000;624000000;585000000;711000000;757000000;882000000;1002000000;998000000;790000000;844000000;895000000;952000000;1035000000;1071000000;1070000000;1077000000;1155000000;1164000000;1311000000;1278000000;1277000000;1318000000;1301000000;1271000000;1354000000;1475000000;1689000000;1677000000;1641000000;1748000000;1768000000;1839000000;1944000000;2106000000;2243000000;2342000000;2563000000;2674000000;2735000000;2739000000;
"Niger";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Nigeria";;;;;;;;;;;;1637000000;1920000000;2122000000;2026000000;2901000000;3364000000;3977000000;4204000000;4269000000;4997000000;3840000000;6341000000;6491000000;5055000000;6723000000;7795000000;7863000000;7877000000;9007000000;8291000000;8751000000;9020000000;10361000000;10062000000;9876000000;9507000000;9304000000;8953000000;9036000000;9109000000;9476000000;13459000000;13444000000;16730000000;17959000000;15929000000;20328000000;19121000000;18617000000;21624000000;
"Niue";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Norfolk Island";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Northern Cyprus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Northern Mariana Islands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Norway";27506148845,1343;30338537745,8585;34161843517,7709;35403858359,5365;38981784021,4447;42503093469,0565;43749242773,5376;46387465765,0509;51497817968,1519;50899715646,7475;52166795682,5533;55020605297,5643;57005094835,1438;61561356592,1125;64909329008,812;65374983686,0759;68103340424,3059;66778881110,4062;70270428897,7845;76812114666,6791;76506018725,6769;79642510538,083;79590648701,3787;84543208108,0662;90790239303,4563;93677992600,1489;92436393276,4051;95408670483,8061;96569394318,2639;96495942198,7882;99055280246,9802;101494570355,902;101943422101,665;103283158214,848;105085968838,123;106921841496,941;105238267604,448;107328701047,431;112863901222,711;111896989518,173;112243300677,56;115515169319,265;111667971939,502;105767267363,366;111071222583,631;115967175582,502;112517811949,637;117365709870,968;118834236345,406;115337883827,743;122933398967,368;
"Oman";;;;;;;;;;;;11000000;23000000;41000000;80000000;135000000;234000000;356000000;412000000;528000000;720000000;921000000;1160000000;1422000000;1775000000;2199000000;2800000000;2987000000;3322000000;3458000000;3963000000;4080000000;4453000000;5067000000;5367000000;5690000000;5862000000;6265000000;6900000000;6951000000;7262000000;7885000000;8223000000;8470000000;9365000000;10301000000;11082000000;11818000000;13476000000;15185000000;16507000000;
"Pakistan";;;;;;;;;;;;5584000000;5584000000;6389000000;6965000000;7430000000;7428000000;7820000000;8913000000;10566000000;10619000000;11919000000;13290000000;14757000000;16384000000;18336000000;20398000000;22454000000;25919000000;27652000254,5722;29865000000;32922000000;37978000000;39100999676,9311;41363000000;43963000000;45271000000;46857000349,0125;45530000000;48226000000;51579000000;53551000362,9151;55663000000;60531000000;64630000000;71067000000;76335000000;77088000000;72439000000;76607000449,3228;79268999543,3639;
"Palau";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Panama";;;;;;;;;;;;821000000;918000000;1042000000;1049000000;1108000000;1211000000;1314000000;1311000000;1538000000;1530000000;1596000000;1735000000;1918000000;1863000000;1981000000;2082000000;2233000000;2061000000;2011000000;2058000000;2215000000;2346000000;2520000000;2716000000;2912000000;3033000000;3350000000;3438000000;3622000000;3838000000;3933000000;4099000000;4371000000;4656000000;4846000000;4951000000;5380000000;5657000000;6057000000;6444000000;
"Papua New Guinea";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Paraguay";;;;;;;;;;;;207000000;231000000;278000000;307000000;325000000;373000000;462000000;565000000;664000000;769000000;867000000;881000000;925000000;1044000000;1080000000;1269000000;1497000000;1726000000;1837000000;2130000000;2273000000;2481000000;2852000000;3269000000;3742000000;3881000000;4153000000;4280000000;4468000000;4706000000;4725000000;4874000000;4708000000;4724000000;5006000000;5417000000;5871000000;6250000000;6697000000;7319000000;
"Peru";;;;;;;;;;;;5405000000;5811000000;6021000000;6428000000;6729000000;7033000000;7672000000;7764000000;8137000000;8729000000;9419000000;10093000000;9671000000;10589000000;10693000000;11390000000;12150000000;11638000000;11832000000;11925000000;12901000000;10821000000;12111000000;12600000000;13134000000;14389000000;15064000000;16182000000;16746000000;17627000000;18542000000;19707000000;20607000000;21896000000;23118000000;24809000000;27391000000;29772000000;30180000000;32145000000;
"Philippines";;;;;;;;;;;;8688000000;9878000000;12562000000;12422000000;12986000000;13979000000;14326000000;14740000000;15927000000;17703000000;16433000000;16930000000;18650000000;18047000000;19020000000;17376000000;18304000000;20191000000;21776000000;22347000000;22473000000;21799000000;22341000000;25737000000;27831000000;30599000000;33760000000;35729000000;35678000000;38945000000;41337000000;42497000000;46130000000;48730000000;49750000000;49898000000;52003000000;53141000000;54422000000;59942000000;
"Pitcairn";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Poland";26262236589,4839;29081321329,195;31729286328,3567;33127128931,7856;35875475704,8374;38933511641,7104;42825066835,3272;47111365174,6772;50981944526,5168;54912566108,829;58774574976,9014;64155272471,6092;69865674567,2828;75582012457,1307;81251680290,9739;88094747103,4052;93968894615,1361;99348824600,7314;104324494355,595;106072509006,371;109450426148,594;103603937948,254;105185142114,923;111464689229,693;116671742660,05;121293735905,479;126703688929,838;132472933180,631;134882252641,47;134214025825,33;124531306115,419;117849021278,588;113266623202,626;114094877397,702;114831879163,375;117512966162,869;121303863521,191;123084633984,361;123025446642,013;121592640134,028;124086797713,628;124751073463,146;122658426716,157;126988660218,136;130410786551,134;131185607883,781;136839189756,072;139837393233,678;142392388088,956;137346554981,923;144803739605,737;
"Portugal";2844080521,88623;3119409177,58986;3384219841,37176;3661443889,96889;4101648177,35642;4332758145,6883;4806738233,94719;5029631723,18052;5360888956,10893;5914115977,8732;6633907411,62507;7293846714,32188;8040388974,24578;8892325828,72896;9805162797,64438;9901200030,02154;10612148752,914;11819876976,5247;12880509501,007;14217728154,6464;15251565709,1438;15447203292,296;16292016603,4909;17291371112,4824;17662852230,7205;18661065613,7662;19663909964,1234;20465266661,5886;21863700489,4402;23803746686,6567;25229230129,2028;26602375929,9622;28059057422,3369;28060540649,5167;28894646777,85;31139846263,6894;32518540688,9198;34293548495,1125;36455523142,4907;39243035073,4161;41489031763,6622;43050831287,9463;44739443964,8999;45873408927,7206;47548383668,6831;49160139167,8825;50763778414,6094;51559546733,3941;51274817519,5222;51310888896,8728;52621421421,8471;
"Puerto Rico";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Qatar";;;;;;;;;;;;315000000;396000000;420000000;460000000;625000000;719000000;908000000;1213000000;1787000000;2173000000;2464000000;2777000000;2945000000;3263000000;3734000000;4088000000;4151000000;4271000000;4394000000;4568000000;4381000000;4873000000;5199000000;5455000000;5514000000;6183000000;6457000000;7596000000;7988000000;8501000000;9257000000;10176000000;11175000000;12317000000;13377000000;15866000000;18074000000;20086000000;23041000000;26377000000;
"Reunion";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Romania";;;;;;;;;;;;33414389160,1753;36940415346,9774;39785891497,5709;42502538702,406;47049644524,3152;51875400333,9144;55218029992,8811;58236042984,4224;59377169317,6719;63764485895,0504;65801079849,8552;65571069518,0083;66942152533,4026;69628272759,7266;71126256642,6022;75747687951,0014;75260629563,5665;78357813658,2104;79089903715,8196;67870283728,162;58410534525,0706;53530172072,9636;52142949374,0357;50974743050,9994;52819277717,9076;54845550265,3875;50569732493,5761;47148939533,4696;43129501560,161;44109524846,198;45675939385,1519;45625435105,897;48689036869,4932;49608191713,9538;50750229903,6103;52128215391,6037;53072323633,782;53706866086,6125;48818790352,6568;51402717514,4268;
"Russia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;989255357511,39;972500835351,457;909389856921,191;852577938455,279;772724716341,333;759796047725,484;746848902719,945;734193705132,216;720055511455,19;740818739449,562;764437509690,095;771052223959,019;771932769833,036;793944000056,078;814233865519,714;832127901814,614;878576637903,067;905226153296,552;921312792029,588;877408941865,612;922348110077,861;
"Rwanda";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"St. Barthélemy";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"St. Helena";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"St. Kitts and Nevis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"St. Lucia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"St. Martin";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"St. Vincent and the Grenadines";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"St.-Pierre-et-Miquelon";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Samoa";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"San Marino";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sao Tome and Principe";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Saudi Arabia";;;;;;;;;;;;1975000000;2289000000;2784000000;3544000000;3965000000;5673000000;6882000000;9624000000;14739000000;19103000000;23180000000;29179000000;31986000000;37907000000;40281000000;46901000000;52819000000;56615000000;60464000000;65223000000;69137000000;76000000000;84289000000;88066000000;91889000000;94551000000;99521000000;108244000000;113346000000;117060000000;126098000000;131908000000;145998000000;146948000000;157545000000;167636000000;174845000000;186488000000;199117000000;218679000000;
"Senegal";;;;;;;;;;;;324000000;338000000;374000000;383000000;410000000;438000000;476000000;517000000;556000000;575000000;609000000;567000000;642000000;690000000;674000000;678000000;711000000;741000000;735000000;780000000;796000000;873000000;859000000;931000000;950000000;981000000;1073000000;1142000000;1132000000;1005000000;1250000000;1515000000;1344000000;1517000000;1777000000;1816000000;2151000000;1932000000;2373000000;2428000000;
"Serbia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44290443985,236;42746076876,2484;42038959709,8513;34742757675,7055;34500890899,8512;38104941917,5166;41851577755,0691;43695626899,2038;44009792603,7413;40526447454,4524;42547941725,8067;44684191093,8633;44840958530,1714;43108913191,8855;42137140893,5923;38654906188,3254;39741125608,6262;40896771381,0284;42237579327,2066;41616400137,3073;42961420439,5403;
"Serbia and Montenegro";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Serbia excluding Kosovo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Seychelles";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sierra Leone";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Singapore";;;;;;;;;;;;2439893762,4231;2951883105,94796;3505352845,41724;3642276044,84305;3909039346,00088;4319500666,37593;4807168979,78495;5550972323,70433;6007412942,95302;6563530408,4507;6844250778,52349;7092040749,52777;7868170963,81947;8618118706,07614;9328763111,84211;10220971708,745;11541286897,2973;12671638931,8342;13657033700,7847;15032628426,6492;15822091116,7108;16708492665,9857;18080561967,7079;19780189627,3764;21131079169,8113;22577577945,351;25068241657,5342;26200119838,0526;27634550388,2588;29690310310,5837;29921627238,2794;31274786549,3295;33152732891,0275;34588608153,6948;36291692932,1581;37572888739,9464;39034448198,5791;39060105748,6465;38526173948,392;42251725230,5632;
"Slovak Republic";;;;;;;;;;;;12259241621,7932;12974369364,7204;14003817620,5901;14661268611,1442;14681615509,8906;15540667052,3709;16441219615,2836;16881860934,4342;18712036530,6715;21625638690,3931;22075148219,5847;22384075112,2777;22955722658,2791;23632544602,1404;24893714944,1819;25552856552,7073;26431687824,2489;26900466089,183;27630975673,3489;29207639694,1644;27073280980,4623;24975206619,735;24385682499,1245;24534076079,4646;26446964503,7233;27713349935,9153;27316469662,3311;25268243618,9782;27161803004,8072;26785914014,831;27183663565,2081;27308973218,3491;27132347602,3434;27534054492,2208;26643189872,8068;27845728998,8573;28513700737,6627;28662670197,6427;26849377066,7277;28208362889,3322;
"Slovenia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10278767656,8605;9845756935,60512;9609093828,79422;9665309442,06741;10269414403,9312;10446259488,0475;10578035188,0794;10737561010,9187;11033799095,0879;11251214364,7774;11471667233,3044;11942926681,4253;12706510763,438;13119402509,2535;13647468677,7045;13850137755,352;14296249323,822;14363764789,7402;13966242752,7413;12353609316,0214;13235731781,4314;
"Solomon Islands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Somalia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Somaliland";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"South Africa";;;;;;;;;;;;51900527149,7543;57092152107,306;61713429921,7543;66832906491,3994;71984830555,8072;77753636892,8741;82007721014,9438;88557906979,4437;97533410631,094;105969978090,151;113925607022,76;119469024657,992;124113453837,803;135638381082,828;141766558885,814;147948421957,097;149854591924,152;155862445418,69;160035210630,143;163051362645,341;163331392828,319;162795807148,777;168545766502,089;174771450838,731;182322961472,393;209595263495,559;216990634540,273;209004091166,011;203842027824,018;209509096840,909;198147732226,383;211222017148,354;215407373369,623;219677707126,86;224814639156,05;231842029552,4;249507339582,78;243361173926,304;232133633451,297;240764640436,336;
"South Ossetia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Spain";15048240355,8036;16915548621,388;19052165635,4117;20857848476,8226;23676870000,802;26423956713,4518;30040073909,5394;33854516138,3397;38212581654,4577;43252600612,1996;47843761300,0163;52494026030,9541;59035133967,9309;65806604723,1831;71990163364,9025;73888750157,3075;81951798828,123;84078922935,9047;88416379226,2994;94042636691,7741;99284039968,8454;100909273211,131;101086157896,023;106733989346,036;111464224128,197;114620789562,573;116071612959,227;119824867413,066;124844674522,054;133760596793,012;137601013098,36;140724033849,363;144583766033,207;143267987348,212;148637253625,789;155769310796,195;160083384817,327;173339830057,859;180221623912,883;194802408923,368;209778427651,656;221765092947,324;231328831983,068;239664115863,525;253148350622,249;266757390456,407;281543636902,578;282561699602,876;288601503014,506;273693912706,366;283596039767,666;
"Sri Lanka";;;;;;;;;;;;742089767,13948;848157888,577871;895815349,858682;923746662,149955;998754554,831061;1042927531,60312;1093277934,29924;1210722249,89429;1351297714,48314;1457445492,30352;1583676776,11639;1742004818,96552;1851882764,09159;1932297232,58348;2121215504,22926;2286417564,76716;2326436611,18915;2426129873,78758;2408930015,75037;2673665233,73494;2809174986,39022;2999242365,20142;3323849128,86773;3653130532,67006;3956291581,8262;3756941458,11518;4213052076,96036;4558544477,74702;4794134655,2267;5432561251,38729;5536514709,79412;5843074186,7766;6336395870,02556;6932073551,83946;7899034388,10833;8020584838,85588;8437083859,47403;7856543139,0414;8531453673,44743;9369958208,15378;
"Sudan";;;;;;;;;;;;296686224,634934;321343792,479572;390544065,435601;464516778,27334;494742184,213595;519399746,180838;549625159,912758;591781645,961751;600531082,130297;558374618,8184;534512458,247098;570305696,981239;554397600,53469;764384608,482452;839152708,09852;952895725,35197;987893555,127767;890058654,491671;855060855,402462;1019709766,78393;1005392446,28101;1030050031,43899;1010164875,04013;1069024911,02626;1082546790,66436;1123112483,01218;1080955976,61385;1076978967,04964;1632967344,14948;1726029764,94334;1485817344,00672;1784094355,96156;1934426033,50346;1999649219,62132;2419623310,45106;2764829236,48378;3065492574,19222;3422629566,25554;4466312040,11982;4802414157,44776;
"Suriname";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Svalbard";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Swaziland";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sweden";29937369193,1867;32779746838,6295;34944220087,6324;36048609897,1533;39835949882,4881;42700828177,1065;43910961994,1451;47317628304,3153;51641371463,2951;56075119833,5055;58841278007,3758;62046402356,9539;66013918612,9544;71225133064,2188;71768873124,3003;74155194800,5215;80147303066,3249;81047519117,4011;83912387113,3679;88704902912,797;88950314981,9187;92446254073,8222;95216069676,958;104978747151,32;114109743863,119;124841089701,961;124474819588,787;132475720827,731;134424061111,797;133377526868,594;135537904983,797;137289707329,668;134904615317,348;135512299807,044;134404147676,308;136597154750,135;136553134061,788;136445313023,58;137412015095,74;136955658433,728;138941510607,793;142218594674,886;139842688020,044;137249219594,632;138448957132,076;139331497171,184;138747708915,308;139783655902,673;137346273229,629;131687131223,642;140125320141,145;
"Switzerland";16288274388,7893;17398863284,5407;18038589362,0438;18828689677,845;19792191746,1188;20907486370,1218;21616498975,4988;22465987598,8541;23329511033,315;24596962654,0829;26567385604,3406;28713895093,6516;29946580423,8203;31620459573,732;31876049080,9213;31009476646,5382;32301892933,3484;33765459229,9147;34896615210,9496;36445124262,0979;37771751139,9802;38649122444,907;39247214548,3812;40366467019,1639;42352178321,1849;44247253632,523;45415906782,5275;46781358295,4959;47337173248,7678;48769386487,2891;50075501846,0971;51226938517,7423;51081285403,3619;50334713123,2376;50684878841,3158;51927345609,8815;52459115510,0858;52245619990,1649;53225051929,5286;55420692016,5493;56235788914,918;57904334577,1574;58046747484,0945;59882387157,5982;60404007530,4227;61584384855,6866;62438710863,8318;61402146220,089;62901459342,8722;61130453396,2583;62643263578,9257;
"Syria";;;;;;;;;;;;1158000000;1371000000;1283000000;1535000000;1782000000;1791000000;1802000000;2406000000;2728000000;3184000000;3831000000;4995000000;5968000000;6068000000;6583000000;6674000000;6709000000;7360000000;8179000000;8573000000;8978000000;9262000000;9323000000;10483000000;11941000000;13178000000;13873000000;14949000000;16223000000;17476000000;19184000000;21075000000;22539000000;24915000000;27503000000;29403914041,4483;30739694503,1856;32307658142,3986;32158065780,7981;38888403350,5018;
"Taiwan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tajikistan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17746000000;17283000000;16454000000;14373000000;14326000000;13865000000;13617000000;12152000000;12574000000;13388000000;13437000000;13542000000;13757000000;13990000000;14392000000;14594000000;14799000000;14642000000;14165000000;13459000000;13788000000;
"Tanzania";;;;;;;;;;;;424000000;464000000;503000000;523000000;547000000;575000000;594000000;601000000;664000000;684000000;724000000;707000000;692000000;727000000;787000000;909000000;946000000;1061000000;1151000000;1303000000;1428000000;1441000000;1462000000;1434000000;1706000000;1896000000;1791000000;1958000000;1865000000;1980000000;2105000000;2247000000;2031000000;2406000000;2703000000;2774000000;3372000000;3564000000;3266000000;3491000000;
"Thailand";;;;;;;;;;;;4568000000;5478000000;6485000000;6839000000;7782000000;8969000000;10374000000;11886000000;12932000000;13766000000;14453000000;15787000000;17513000000;19456000000;21117000000;23047000000;26085000000;29560000000;34297000000;40131000000;45333000000;51647000000;58835000000;65136000000;74198000000;82983000000;85801000000;83699000000;84623000000;91160000000;95611000000;103636000000;110614000000;118762000000;125259000000;131971000000;137675000000;140077000000;140492000000;155069000000;
"Timor-Leste";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Togo";;;;;;;;;;;;140000000;138000000;128000000;169000000;179000000;172000000;267000000;309000000;202000000;171000000;189000000;216000000;203000000;240000000;252000000;258000000;281000000;290000000;317000000;343000000;328000000;372000000;282000000;322000000;426000000;453000000;474000000;493000000;541000000;469000000;501000000;500000000;549000000;587000000;614000000;625000000;606000000;;;;
"Tokelau";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tonga";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Transnistria";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Trinidad and Tobago";;;;;;;;;;;;991000000;1110000000;1105000000;1152000000;1147000000;1296000000;1454000000;1557000000;1855000000;2035000000;2286000000;2696000000;2905000000;3006000000;3023000000;3291000000;3481000000;3157000000;3056000000;3278000000;3257000000;3522000000;3502000000;3611000000;3892000000;4091000000;4587000000;4751000000;4819000000;5060000000;5216000000;5216000000;6125000000;6062000000;6669000000;6506000000;7515000000;7515000000;7566000000;7907000000;
"Tunisia";;;;;;;;;;;;805900304,914866;931656948,614426;1043942797,30182;1146065709,61132;1227237914,81019;1399515311,26115;1635878583,8657;1854354969,63929;2226352815,74255;2596390219,92481;2799823303,34425;2791370117,23628;3142455853,25726;3340864350,4049;3746731182,008;3986801755,7595;4261271893,11365;4614468005,78154;4918996054,80517;5244759622,53507;5458399308,38402;5862465781,22239;6160020385,33509;6731855962,63357;6923970431,81691;7115791209,44407;7569932643,51601;8043934128,12189;8870457880,58249;9373554573,11654;10006722773,3212;10365073280,2421;9762887516,00642;10245404869,0145;10823368273,4071;11177193850,6502;11752102690,047;12284210143,3841;13315281100,7127;14148977741,6083;
"Turkey";2536000000;2728000000;3231000000;3561000000;3994000000;4455000000;4968000000;5530000000;6139000000;7000000000;7756000000;8798000000;10113000000;11142000000;11989000000;14084000000;16903000000;18979000000;20159000000;21004000000;21792000000;23358000000;25008000000;26145000000;29526000000;32416000000;35025000000;39407000000;42121000000;46355000000;50131000000;52938000000;58222000000;63180000000;65940000000;71782000000;78935000000;86935000000;93227000000;96940000000;104520000000;103542000000;108621000000;117099000000;126774000000;136750000000;149826000000;163353000000;170604000000;165088000000;180212000000;
"Turkmenistan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8410000000;8330000000;7793000000;8274000000;6868000000;6574000000;6169000000;5102000000;6859000000;6304000000;7642000000;8137000000;8189000000;8130000000;9001000000;9755000000;10176000000;10979000000;11434000000;11786000000;12118000000;
"Turks and Caicos Islands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tuvalu";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Uganda";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Ukraine";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;247249080298,466;239899497451,202;222741111692,121;203778377953,72;178544876903,068;171202986910,99;155385264453,095;148943604967,57;141577113825,468;137837131436,453;135842769261,56;135196556848,63;136643006622,81;142833327687,917;148971295103,853;152316743666,775;158389853404,62;163326256510,229;162550683833,612;147566014956,149;161334647266,905;
"United Arab Emirates";;;;;;;;;;;;189000000;435000000;671000000;877000000;1273000000;1805000000;2748000000;3501000000;4642000000;5865000000;6710000000;8290000000;9431000000;10230000000;11161000000;11917000000;12701000000;13801000000;14207000000;15543000000;15790000000;17007000000;19774000000;21600000000;22709000000;24154000000;26515000000;31599000000;36242000000;38593000000;40074000000;43767000000;46180000000;48951000000;56262000000;61888000000;70544000000;73495000000;77169000000;82962000000;
"United Kingdom";126744206507,176;135078374621,307;148111306663,85;161033351077,987;168902531006,204;180995157509,993;187274978960,447;192717625928,479;207743270539,849;222123264318,893;231870578587,308;237492566048,354;244713301799,083;261996759468,676;254692191269,553;252627960962,761;258163183900,678;262788476621,368;266267022600,409;277142462797,566;263719516533,658;257537483717,075;252427957439,868;256479441118,191;259481540796,091;272790980803,415;280490508485,006;288447050572,893;297753661567,659;302135837127,721;306473633081,646;312760696706,134;313651429153,082;316786933702,358;311186931205,465;323381335858,769;338230382265,513;340112596666,863;345598229351,269;352467599274,748;359987511005,219;363045463004,441;364786059364,635;368532497349,867;368398145722,916;378639274660,728;376926058690,369;374653917323,954;371340305008,178;351425323250,979;355838079754,065;
"United States";754581414089,616;791236970400,836;851048308238,386;912734736594,81;979647808140,227;1044071052296,77;1127330719311,54;1199560045381,7;1313313377369,88;1433263052773,71;1515818153925,42;1588823907532,13;1722297111509,06;1844648028059,18;1834594243145,95;1867327756216,31;1983546782895,62;2084878966810,94;2155291153205;2208113337006,86;2266618199603,39;2314942984149,43;2235897274829,65;2304088483773,9;2455372187683,38;2511071215305,27;2538304305810,51;2677307003864,82;2806297645935,92;2892874614667,43;2967444865092,69;3104010320330,5;3103174371206,21;3197845313712,21;3281548883974,74;3371553771941,54;3462866256763,7;3514326912001,22;3630531375862,48;3709626684651,63;3862021764270,82;3725392553545,07;3835513914556,98;3876350312529,43;3937090476075,5;4067796615983,93;4069064167542,82;4128436183699,42;4167195117767,4;3973377628699,41;4157251762290,45;
"Uruguay";;;;;;;;;;;;2063000000;1963000000;1990000000;1985000000;2157000000;2291000000;2419000000;2642000000;2705000000;2927000000;3044000000;3066000000;3089000000;3116000000;3227000000;3353000000;3536000000;3846000000;3726000000;3870000000;4212000000;4309000000;4623000000;4759000000;5089000000;5330956042,39033;5686820413,62917;5977949336,77797;6371584775,46758;6780217099,54562;6688097565,36628;6681862278,48494;6304152766,20036;6450131386,79941;6683808005,08694;7426982958,3408;8088181699,48248;8696969939,88096;8977297966,06096;9308716882,99772;
"USSR";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
