"Electricity consumption, total (kWh)";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
"Brunei";;;;;;;;;;;;238000000;238000000;235000000;239000000;239000000;239000000;239000000;239000000;239000000;328000000;453000000;543000000;653000000;718000000;733000000;743000000;996000000;1047000000;1081000000;1119000000;1191000000;1320000000;1484000000;1615000000;1897000000;2080000000;2378000000;2475000000;2406000000;2514000000;2272000000;2361000000;2799000000;3142000000;3149000000;3122000000;3230000000;3259000000;3394000000;3494000000;
"Bulgaria";;;;;;;;;;;;19581869472,535;21357393521,4897;23176543103,6913;24674685393,2222;26472890717,0972;28431886633,4673;30198216543,7724;32143380571,2301;33330493127,7575;35213003973,6908;36667993557,0525;39206666636,0152;40955347850,6864;42732252105,8951;41919391822,843;41615104948,7669;43272967028,1838;44057384857,5163;44056287703,2844;41966852156,4266;38129634780,1246;32317091588,4051;32557693359,5348;32324405966,6083;35190789340,1278;35991264938,6703;32547166842,2347;31971543309,4669;29149181887,7591;29411477042,5886;30628523658,8938;30295883671,1289;31150797130,3846;30681586848,0295;31897764520,8594;33152042384,6152;34043197517,5736;34876647704,5988;33192164439,3485;33548133787,2757;
"Burkina Faso";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Burundi";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cambodia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;144000000;220000000;274000000;309000000;359000000;398000000;453000000;636000000;662000000;728000000;886000000;1088000000;1376000000;1591000000;1803000000;2065000000;
"Cameroon";;;;;;;;;;;;1019000000;1068000000;1079000000;1229000000;1303000000;1272000000;1223000000;1265000000;1297000000;1346000000;1763000000;2027000000;2020000000;1997000000;2253000000;2167000000;2228000000;2323000000;2403000000;2345000000;2334000000;2360000000;2457000000;2213000000;2177000000;2314000000;2516000000;2539000000;2681000000;2719000000;2631000000;2536000000;2808000000;3320000000;3306000000;4477000000;4753000000;5143000000;5243000000;5319000000;
"Canada";100839000000;102483916901,045;107894200105,942;113147875174,014;124910716021,527;135973034549,497;147756766122,556;156432700355,134;168090438026,803;182114453015,028;194630845950,572;205066220180,401;221291008243,191;232884731327,552;247540873663,219;241534563696,497;258603522391,785;278714318381,241;293266672665,793;300323566200,519;312918729628,187;326883419728,876;323639276411,198;338822891188,718;364960663260,447;382473689370,904;400671266144,329;417884445236,158;439891169555,605;448289158414,259;446240812846,677;451758156706,321;456459313251,189;466046320990,499;473591507759,105;483580348238,877;490256794911,886;495769325800,608;493429535886,062;505142812736,17;521056269160,083;520470825526,368;530525601965,723;543387662943,995;550561186011,408;559123895136,389;546878965212,382;555560922176,502;548219674512,077;509122941226,676;514929102224,594;
"Cape Verde";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cayman Islands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Central African Republic";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Chad";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Channel Islands";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
